"Symbol","LTP","%Chng","Volume"
"GRASIM","671.95","7.45","1,36,77,888"
"ZEEL","176.45","3.73","5,15,67,345"
"ULTRACEMCO","4,170.00","3.33","10,32,948"
"KOTAKBANK","1,371.00","3.27","37,11,857"
"HDFCBANK","1,059.60","2.60","1,04,19,425"
